evidence_id,resource_key,evidence_type,evidence_path,evidence_sha256,evidence_created_at,evidence_created_by,evidence_used_for,evidence_summary,is_committed_to_repo,external_artifact_url
raw-gist-candidate-2,bangdream_001_2018_dog,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:2,True,
raw-gist-candidate-3,bangdream_001_2018_halloween,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:3,True,
raw-gist-candidate-4,bangdream_001_2019_furisode,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:4,True,
raw-gist-candidate-5,bangdream_001_2019af,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:5,True,
raw-gist-candidate-6,bangdream_001_2021af,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:6,True,
raw-gist-candidate-7,bangdream_001_2024_furisode,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:7,True,
raw-gist-candidate-8,bangdream_001_arbeit,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:8,True,
raw-gist-candidate-9,bangdream_001_birthday_2021,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:9,True,
raw-gist-candidate-10,bangdream_001_birthday_2022,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:10,True,
raw-gist-candidate-11,bangdream_001_cafe,raw_source,raw/gist/4bebb4fa9266af907ad1cbc7af12b3b6132b885d/candidate-resource-intelligence.csv.gz,44aad07310aae462153d0e56aa4ef61010204c64a95857ad587919db46649f1b,2026-06-14T19:25:35Z,build_bangdream_resource_audit.py,source_row_identity,candidate-resource-intelligence.csv:11,True,
